ihbar,olay_turu,oncelik,birim,ilce,mahalle,lat,lon,ihbar_metni
Şişli Halaskargazi Mahallesi Kadıköy Caddesi Karanfil Sokak yakınlarında bölgesinde deprem sonrası enkaz altında mahsur kalan vatandaşlar var. Acil müdahale gerekiyor.,Deprem,Yüksek,Sağlık Ekipleri,Şişli,Halaskargazi,41.041963,28.981042,
Sancaktepe Sarıgazi Mahallesi Kadıköy Caddesi Yunus Emre Sokak yakınlarında bölgesinde ormanlık alanda büyük yangın var. Helikopter desteği gerekiyor.,Orman Yangını,Yüksek,Orman Bölge Müdürlüğü,Sancaktepe,Sarıgazi,40.980387,29.21631,
Maltepe Girne Mahallesi Halaskargazi Caddesi Güneş Sokak yakınlarında'de ana su borusu patladı. Sokak su altında kaldı.,Altyapı Arızası,Orta,İGDAŞ,Maltepe,Girne,40.92693,29.145559,
Üsküdar Bağlarbaşı Mahallesi Kadıköy Caddesi Lale Sokak yakınlarında bölgesinde buzlanma nedeniyle trafik kazaları yaşanıyor. Tuzlama ekibi isteniyor.,Kar Fırtınası,Orta,Yol Bakım ve Altyapı,Üsküdar,Bağlarbaşı,41.040431,29.004669,
Kadıköy Göztepe Mahallesi Sahil Yolu 5. Sokak yakınlarında'de metro tünelinde yangın çıktı. Tahliye başlatıldı.,Metro/Tünel Kazası,Kritik,Metro İstanbul,Kadıköy,Göztepe,41.004789,29.042263,
Beşiktaş Yıldız Mahallesi Vatan Caddesi Menekşe Sokak yakınlarında metro hattında elektrik kesintisi var. Vagonlar tünelde durdu.,Metro/Tünel Kazası,Yüksek,İtfaiye,Beşiktaş,Yıldız,41.055663,29.007812,
"Kadıköy Koşuyolu Mahallesi Beşiktaş Caddesi 2. Sokak yakınlarında'de kar kalınlığı artıyor, toplu taşıma durdu. Karla mücadele ekibi gerekli.",Kar Fırtınası,Yüksek,Ulaşım Daire Başkanlığı,Kadıköy,Koşuyolu,40.983844,29.010477,
Tuzla Cami Mahallesi Cumhuriyet Caddesi Gül Sokak yakınlarında metro istasyonunda duman yayılıyor. Acil müdahale gerekli.,Metro/Tünel Kazası,Orta,Sağlık Ekipleri,Tuzla,Cami,40.831782,29.290449,
"Üsküdar Kuzguncuk Mahallesi Kadıköy Caddesi 3. Sokak yakınlarında'de şiddetli sarsıntı hissedildi, panik yaşanıyor. Durum tespiti için ekip isteniyor.",Deprem,Orta,AFAD,Üsküdar,Kuzguncuk,41.032542,29.007747,
Bağcılar Fevzi Çakmak Mahallesi Atatürk Caddesi 5. Sokak yakınlarında metro istasyonunda duman yayılıyor. Acil müdahale gerekli.,Metro/Tünel Kazası,Yüksek,İtfaiye,Bağcılar,Fevzi Çakmak,41.016468,28.873723,
Ümraniye Armağanevler Mahallesi Sahil Yolu 2. Sokak yakınlarında'de otobüs kazası yaşandı. Ambulans ve itfaiye acil gerekli.,Trafik Kazası,Yüksek,Yol Bakım ve Altyapı,Ümraniye,Armağanevler,41.023235,29.101685,
Sultangazi Sultançiftliği Mahallesi Kennedy Caddesi Yunus Emre Sokak yakınlarında köprüsünde çoklu araç kazası var. Trafik felç oldu.,Trafik Kazası,Yüksek,Sağlık Ekipleri,Sultangazi,Sultançiftliği,41.085092,28.863518,
"Arnavutköy İmrahor Mahallesi Cumhuriyet Caddesi 1. Sokak yakınlarında'de kanalizasyon tıkandı, kötü koku yayılıyor. Acil temizlik gerekli.",Altyapı Arızası,Orta,BEDAŞ,Arnavutköy,İmrahor,41.174777,28.730496,
Sancaktepe Osmangazi Mahallesi Büyükdere Caddesi Mimar Sinan Sokak yakınlarında sitesinde elektrik kontağından yangın çıktı. Tahliye ediliyor.,Bina Yangını,Kritik,İtfaiye,Sancaktepe,Osmangazi,40.998927,29.249347,
Şile Sofular Mahallesi Sahil Yolu Çiçek Sokak yakınlarında'de şiddetli yağış sonrası heyelan riski oluştu. Bölge boşaltılmalı.,Heyelan,Kritik,AFAD,Şile,Sofular,41.188337,29.622846,
Kadıköy Caferağa Mahallesi Vatan Caddesi Fatih Sokak yakınlarında civarında orman yangını yerleşim yerlerine yaklaşıyor. Tahliye başlatılmalı.,Orman Yangını,Kritik,AFAD,Kadıköy,Caferağa,40.997151,29.03844,
Bağcılar Mahmutbey Mahallesi Beşiktaş Caddesi Fatih Sokak yakınlarında caddesinde aydınlatma direkleri devrildi. Tehlike arz ediyor.,Altyapı Arızası,Kritik,İSKİ,Bağcılar,Mahmutbey,41.032386,28.842603,
Esenyurt Fatih Mahallesi Taksim Meydanı Güneş Sokak yakınlarında metro istasyonunda teknik arıza nedeniyle yolcular mahsur kaldı.,Metro/Tünel Kazası,Kritik,AFAD,Esenyurt,Fatih,41.035596,28.699999,
Başakşehir Güvercintepe Mahallesi Kadıköy Caddesi Yunus Emre Sokak yakınlarında apartmanında gaz kaçağı tespit edildi. Elektrik kesilmeli.,Gaz Kaçağı,Kritik,İGDAŞ,Başakşehir,Güvercintepe,41.091737,28.787466,
Adalar Kınalıada Mahallesi Vatan Caddesi Karanfil Sokak yakınlarında bölgesinde toprak kayması nedeniyle evler tehlike altında.,Heyelan,Kritik,Yol Bakım ve Altyapı,Adalar,Kınalıada,40.873695,29.099142,
Şişli Nişantaşı Mahallesi Halaskargazi Caddesi Orkide Sokak yakınlarında sokağında doğalgaz borusu patladı. Bölge tahliye edilmeli.,Gaz Kaçağı,Kritik,İtfaiye,Şişli,Nişantaşı,41.055521,28.973812,
Tuzla İçmeler Mahallesi Kadıköy Caddesi Güneş Sokak yakınlarında'de trafik kazası sonrası yakıt sızıntısı var. Yangın riski mevcut.,Trafik Kazası,Orta,Trafik Ekipleri,Tuzla,İçmeler,40.804973,29.296806,
Kağıthane Harmantepe Mahallesi Cumhuriyet Caddesi 3. Sokak yakınlarında mahallesinde uzun süredir su kesintisi yaşanıyor. Vatandaşlar şikayetçi.,Altyapı Arızası,Yüksek,İGDAŞ,Kağıthane,Harmantepe,41.075245,28.962299,
Esenyurt İnönü Mahallesi Kadıköy Caddesi Fatih Sokak yakınlarında sitesinde elektrik kontağından yangın çıktı. Tahliye ediliyor.,Bina Yangını,Yüksek,İGDAŞ,Esenyurt,İnönü,41.014461,28.676745,
Sultanbeyli Ahmet Yesevi Mahallesi Cumhuriyet Caddesi 4. Sokak yakınlarında yakınlarında orman yangını çıktı. Alevler hızla yayılıyor.,Orman Yangını,Yüksek,İtfaiye,Sultanbeyli,Ahmet Yesevi,40.970376,29.27322,
Pendik Batı Mahallesi Millet Caddesi 4. Sokak yakınlarında'de iş yerinde yangın başladı. Dumandan etkilenenler var.,Bina Yangını,Yüksek,Sağlık Ekipleri,Pendik,Batı,40.869194,29.231788,
Ataşehir Ferhatpaşa Mahallesi İstiklal Caddesi Fatih Sokak yakınlarında'de şiddetli yağış sonrası heyelan riski oluştu. Bölge boşaltılmalı.,Heyelan,Kritik,AFAD,Ataşehir,Ferhatpaşa,40.964075,29.118277,
"Kadıköy Koşuyolu Mahallesi Büyükdere Caddesi Yıldız Sokak yakınlarında civarında deprem sonrası hasar tespit edildi, çatlaklar oluşmuş durumda.",Deprem,Yüksek,Kurtarma Ekipleri,Kadıköy,Koşuyolu,40.997553,29.017242,
Büyükçekmece Tepecik Mahallesi Mecidiyeköy Yolu Papatya Sokak yakınlarında sitesinde elektrik kontağından yangın çıktı. Tahliye ediliyor.,Bina Yangını,Kritik,İtfaiye,Büyükçekmece,Tepecik,41.020936,28.601849,
Üsküdar Kuzguncuk Mahallesi Cumhuriyet Caddesi 1. Sokak yakınlarında yakınlarında yamaçtan kaya düşmesi var. Yol trafiğe kapatıldı.,Heyelan,Kritik,Kurtarma Ekipleri,Üsküdar,Kuzguncuk,41.026432,29.031521,
Fatih Sultanahmet Mahallesi Bağdat Caddesi 1. Sokak yakınlarında'de yoğun kar yağışı nedeniyle yollar kapandı. Araçlar mahsur kaldı.,Kar Fırtınası,Orta,Ulaşım Daire Başkanlığı,Fatih,Sultanahmet,41.032612,28.943716,
"Gaziosmanpaşa Mevlana Mahallesi Kadıköy Caddesi 3. Sokak yakınlarında'de şiddetli deprem hissedildi, binalarda hasar var. İlgili ekipler acilen yönlendirilsin.",Deprem,Yüksek,İtfaiye,Gaziosmanpaşa,Mevlana,41.049458,28.922602,
Ümraniye Ihlamurkuyu Mahallesi Taksim Meydanı Lale Sokak yakınlarında mahallesinde su baskını nedeniyle elektrik kesintisi yaşanıyor.,Sel Baskını,Kritik,Yol Bakım ve Altyapı,Ümraniye,Ihlamurkuyu,41.014119,29.126052,
Ümraniye Tantavi Mahallesi Millet Caddesi 2. Sokak yakınlarında'de apartmanda yangın çıktı. Üst katlarda mahsur kalanlar var.,Bina Yangını,Kritik,Sağlık Ekipleri,Ümraniye,Tantavi,41.030769,29.129929,
Sultanbeyli Mecidiye Mahallesi Beşiktaş Caddesi 2. Sokak yakınlarında bölgesinde buzlanma nedeniyle trafik kazaları yaşanıyor. Tuzlama ekibi isteniyor.,Kar Fırtınası,Yüksek,AFAD,Sultanbeyli,Mecidiye,40.947848,29.280738,
Esenler Fevzi Çakmak Mahallesi Millet Caddesi Yunus Emre Sokak yakınlarında'de heyelan meydana geldi. Yol tamamen kapandı.,Heyelan,Kritik,Yol Bakım ve Altyapı,Esenler,Fevzi Çakmak,41.024006,28.893523,
Beylikdüzü Gürpınar Mahallesi Kartal Caddesi Fatih Sokak yakınlarında'de iş yerinde yangın başladı. Dumandan etkilenenler var.,Bina Yangını,Kritik,İGDAŞ,Beylikdüzü,Gürpınar,40.997927,28.61399,
"Arnavutköy Yeşilbayır Mahallesi Mecidiyeköy Yolu Fatih Sokak yakınlarında civarında kar fırtınası sürüyor, elektrik direkleri devrildi.",Kar Fırtınası,Yüksek,AFAD,Arnavutköy,Yeşilbayır,41.185439,28.72705,
Silivri Fatih Mahallesi Millet Caddesi Orkide Sokak yakınlarında'de apartmanda yangın çıktı. Üst katlarda mahsur kalanlar var.,Bina Yangını,Yüksek,İGDAŞ,Silivri,Fatih,41.058426,28.234603,
"Bağcılar Demirkapı Mahallesi Kartal Caddesi Karanfil Sokak yakınlarında'de şüpheli duman yükseliyor. Yangın riski mevcut, kontrol edilmeli.",Orman Yangını,Yüksek,İtfaiye,Bağcılar,Demirkapı,41.045383,28.875764,
Çatalca Kaleiçi Mahallesi Mecidiyeköy Yolu Papatya Sokak yakınlarında bölgesinde buzlanma nedeniyle trafik kazaları yaşanıyor. Tuzlama ekibi isteniyor.,Kar Fırtınası,Kritik,Yol Bakım ve Altyapı,Çatalca,Kaleiçi,41.135991,28.469721,
Çatalca Çiftlikköy Mahallesi Halaskargazi Caddesi Fatih Sokak yakınlarında'de inşaat çalışması sırasında gaz hattı hasar gördü.,Gaz Kaçağı,Kritik,İtfaiye,Çatalca,Çiftlikköy,41.128004,28.441891,
Pendik Batı Mahallesi Millet Caddesi Fatih Sokak yakınlarında köprüsünde çoklu araç kazası var. Trafik felç oldu.,Trafik Kazası,Kritik,Trafik Ekipleri,Pendik,Batı,40.860663,29.216214,
Maltepe İdealtepe Mahallesi Kennedy Caddesi Çiçek Sokak yakınlarında civarında orman yangını yerleşim yerlerine yaklaşıyor. Tahliye başlatılmalı.,Orman Yangını,Yüksek,AFAD,Maltepe,İdealtepe,40.954357,29.114338,
Adalar Kınalıada Mahallesi Taksim Meydanı Atatürk Sokak yakınlarında mahallesinde yoğun kar nedeniyle çatılarda çökme riski var.,Kar Fırtınası,Yüksek,Ulaşım Daire Başkanlığı,Adalar,Kınalıada,40.867994,29.094141,
Üsküdar Bulgurlu Mahallesi Büyükdere Caddesi Menekşe Sokak yakınlarında bölgesinde deprem sonrası enkaz altında mahsur kalan vatandaşlar var. Acil müdahale gerekiyor.,Deprem,Kritik,AFAD,Üsküdar,Bulgurlu,41.013986,28.998447,
Avcılar Ambarlı Mahallesi Taksim Meydanı Fatih Sokak yakınlarında'de çalılık alanda yangın başladı. Rüzgar nedeniyle tehlike büyüyor.,Orman Yangını,Yüksek,Orman Bölge Müdürlüğü,Avcılar,Ambarlı,40.97085,28.710659,
"Esenyurt İnönü Mahallesi Büyükdere Caddesi 5. Sokak yakınlarında bölgesinde dere taştı, evlere su girdi. Acil tahliye gerekiyor.",Sel Baskını,Orta,İtfaiye,Esenyurt,İnönü,41.017891,28.672292,
Beyoğlu Galata Mahallesi Kennedy Caddesi 1. Sokak yakınlarında'de aşırı yağmur sonrası sokaklar göle döndü. Araçlar mahsur kaldı.,Sel Baskını,Yüksek,AFAD,Beyoğlu,Galata,41.034566,28.975748,
Tuzla İçmeler Mahallesi Taksim Meydanı Çiçek Sokak yakınlarında'de inşaat çalışması sırasında gaz hattı hasar gördü.,Gaz Kaçağı,Yüksek,İGDAŞ,Tuzla,İçmeler,40.820621,29.315577,
"Esenyurt Saadetdere Mahallesi Cumhuriyet Caddesi Karanfil Sokak yakınlarında bölgesinde dere taştı, evlere su girdi. Acil tahliye gerekiyor.",Sel Baskını,Yüksek,Yol Bakım ve Altyapı,Esenyurt,Saadetdere,41.03635,28.693824,
Pendik Kurtköy Mahallesi Kadıköy Caddesi Fatih Sokak yakınlarında yakınlarında yamaçtan kaya düşmesi var. Yol trafiğe kapatıldı.,Heyelan,Kritik,Kurtarma Ekipleri,Pendik,Kurtköy,40.894862,29.2324,
"Kartal Soğanlık Mahallesi Kadıköy Caddesi Fatih Sokak yakınlarında'de sel suları yükseliyor, bodrum katlar su altında. Acil pompa desteği isteniyor.",Sel Baskını,Kritik,İSKİ,Kartal,Soğanlık,40.881829,29.203408,
Büyükçekmece Güzelce Mahallesi Bağdat Caddesi 4. Sokak yakınlarında'de zincirleme trafik kazası meydana geldi. Çok sayıda yaralı var.,Trafik Kazası,Yüksek,Yol Bakım ve Altyapı,Büyükçekmece,Güzelce,41.031296,28.596297,
Beyoğlu Galata Mahallesi Mecidiyeköy Yolu Fatih Sokak yakınlarında'de metro tünelinde yangın çıktı. Tahliye başlatıldı.,Metro/Tünel Kazası,Kritik,İtfaiye,Beyoğlu,Galata,41.042016,28.9874,
Sancaktepe Yenidoğan Mahallesi Kartal Caddesi Gül Sokak yakınlarında bölgesinde toprak kayması nedeniyle evler tehlike altında.,Heyelan,Yüksek,Yol Bakım ve Altyapı,Sancaktepe,Yenidoğan,40.981155,29.238501,
Avcılar Ambarlı Mahallesi İstiklal Caddesi Orkide Sokak yakınlarında apartmanında gaz kaçağı tespit edildi. Elektrik kesilmeli.,Gaz Kaçağı,Orta,AFAD,Avcılar,Ambarlı,40.99889,28.737917,
Beykoz Riva Mahallesi Kennedy Caddesi Mimar Sinan Sokak yakınlarında civarında orman yangını yerleşim yerlerine yaklaşıyor. Tahliye başlatılmalı.,Orman Yangını,Orta,İtfaiye,Beykoz,Riva,41.141516,29.09662,
Maltepe Girne Mahallesi Büyükdere Caddesi Mimar Sinan Sokak yakınlarında'de apartmanda yangın çıktı. Üst katlarda mahsur kalanlar var.,Bina Yangını,Kritik,Sağlık Ekipleri,Maltepe,Girne,40.944452,29.11506,
Şile Hacılli Mahallesi Cumhuriyet Caddesi 1. Sokak yakınlarında'de trafik kazası sonrası yakıt sızıntısı var. Yangın riski mevcut.,Trafik Kazası,Orta,Yol Bakım ve Altyapı,Şile,Hacılli,41.184642,29.626299,
Sancaktepe Sarıgazi Mahallesi Kartal Caddesi 3. Sokak yakınlarında civarında orman yangını yerleşim yerlerine yaklaşıyor. Tahliye başlatılmalı.,Orman Yangını,Kritik,Orman Bölge Müdürlüğü,Sancaktepe,Sarıgazi,40.993298,29.243815,
"Beylikdüzü Dereağzı Mahallesi Beşiktaş Caddesi Orkide Sokak yakınlarında'de kar kalınlığı artıyor, toplu taşıma durdu. Karla mücadele ekibi gerekli.",Kar Fırtınası,Orta,Ulaşım Daire Başkanlığı,Beylikdüzü,Dereağzı,41.014241,28.629731,
Kağıthane Nurtepe Mahallesi Halaskargazi Caddesi Fatih Sokak yakınlarında metro istasyonunda duman yayılıyor. Acil müdahale gerekli.,Metro/Tünel Kazası,Kritik,Metro İstanbul,Kağıthane,Nurtepe,41.101893,28.95175,
Üsküdar Kuzguncuk Mahallesi Taksim Meydanı Yıldız Sokak yakınlarında sitesinde elektrik kontağından yangın çıktı. Tahliye ediliyor.,Bina Yangını,Orta,İtfaiye,Üsküdar,Kuzguncuk,41.032298,29.011599,
Büyükçekmece Güzelce Mahallesi Beşiktaş Caddesi Çiçek Sokak yakınlarında'de çatı katında yangın var. Bitişik binalara sıçrama riski mevcut.,Bina Yangını,Kritik,Sağlık Ekipleri,Büyükçekmece,Güzelce,41.030771,28.597394,
Tuzla Aydınlı Mahallesi İstiklal Caddesi Orkide Sokak yakınlarında bölgesinde fabrikada büyük yangın var. Birden fazla itfaiye ekibi gerekli.,Bina Yangını,Yüksek,Sağlık Ekipleri,Tuzla,Aydınlı,40.821946,29.316837,
Üsküdar Çengelköy Mahallesi Barbaros Bulvarı 1. Sokak yakınlarında'de yoğun yağış nedeniyle sel baskını yaşanıyor. Alt geçitler su altında kaldı.,Sel Baskını,Kritik,AFAD,Üsküdar,Çengelköy,41.039537,28.99704,
Maltepe Bağlarbaşı Mahallesi Kadıköy Caddesi Papatya Sokak yakınlarında'de tünel girişinde göçük meydana geldi. Trafik durdu.,Metro/Tünel Kazası,Yüksek,İtfaiye,Maltepe,Bağlarbaşı,40.921399,29.112759,
Maltepe Bağlarbaşı Mahallesi Taksim Meydanı Karanfil Sokak yakınlarında apartmanında gaz patlaması sonrası yangın çıktı. Acil müdahale şart.,Bina Yangını,Orta,İGDAŞ,Maltepe,Bağlarbaşı,40.932983,29.136274,
Kartal Cevizli Mahallesi Taksim Meydanı 3. Sokak yakınlarında apartmanında gaz kaçağı tespit edildi. Elektrik kesilmeli.,Gaz Kaçağı,Yüksek,İtfaiye,Kartal,Cevizli,40.909806,29.177566,
Bağcılar Güneşli Mahallesi Kartal Caddesi Gül Sokak yakınlarında'de heyelan sonrası araçlar toprak altında kaldı. Kurtarma ekibi şart.,Heyelan,Kritik,Kurtarma Ekipleri,Bağcılar,Güneşli,41.025888,28.859577,
Kadıköy Bostancı Mahallesi Millet Caddesi Yıldız Sokak yakınlarında'de heyelan meydana geldi. Yol tamamen kapandı.,Heyelan,Orta,Kurtarma Ekipleri,Kadıköy,Bostancı,40.995337,29.035132,
Çatalca Kaleiçi Mahallesi Mecidiyeköy Yolu Orkide Sokak yakınlarında sitesinde elektrik kontağından yangın çıktı. Tahliye ediliyor.,Bina Yangını,Yüksek,İGDAŞ,Çatalca,Kaleiçi,41.149365,28.466236,
Üsküdar Ümraniye Mahallesi Atatürk Caddesi 1. Sokak yakınlarında'de çalılık alanda yangın başladı. Rüzgar nedeniyle tehlike büyüyor.,Orman Yangını,Yüksek,İtfaiye,Üsküdar,Ümraniye,41.034944,28.996535,
Başakşehir Kayabaşı Mahallesi Kadıköy Caddesi Papatya Sokak yakınlarında'de şiddetli yağış sonrası heyelan riski oluştu. Bölge boşaltılmalı.,Heyelan,Yüksek,Yol Bakım ve Altyapı,Başakşehir,Kayabaşı,41.081932,28.812561,
Büyükçekmece Tepecik Mahallesi Kartal Caddesi 1. Sokak yakınlarında yakınlarında orman yangını çıktı. Alevler hızla yayılıyor.,Orman Yangını,Kritik,İtfaiye,Büyükçekmece,Tepecik,41.026562,28.576849,
Esenyurt Yenikent Mahallesi Beşiktaş Caddesi Yunus Emre Sokak yakınlarında yakınlarında orman yangını çıktı. Alevler hızla yayılıyor.,Orman Yangını,Kritik,İtfaiye,Esenyurt,Yenikent,41.027931,28.694927,
Eyüpsultan Rami Mahallesi Millet Caddesi 4. Sokak yakınlarında'de apartmanda yangın çıktı. Üst katlarda mahsur kalanlar var.,Bina Yangını,Yüksek,Sağlık Ekipleri,Eyüpsultan,Rami,41.062897,28.950912,
